species,current_mean,current_max,future_mean,future_max,continuing_threat,avg_threat,threat_change,threat_change_pct,n_cells,current_p95,current_p99,future_p95,future_p99,p95_change,current_n_above_0.5,current_n_above_0.7,current_n_above_0.9,current_prop_above_0.7,current_area_above_0.7_km2,current_area_above_0.9_km2,future_n_above_0.5,future_n_above_0.7,future_n_above_0.9,future_prop_above_0.7,future_area_above_0.7_km2,future_area_above_0.9_km2,hotspot_score,hotspot_area_change_km2,composite_risk,error,threat_category,hotspot_category
"1315155_Formica_neorufibarbis_Emery,_1893",0.6987098976102262,0.9999974370002747,0.8080374603531613,0.9999998807907104,0.6987098976102262,0.7533736789816937,0.10932756274293509,15.64706083552909,35494,0.9882666349411011,0.9978578680753708,0.9985159665346146,0.9998701894283295,0.010249331593513489,26808,21461,11019,0.6046374035048178,215517.58886015342,110655.99513769304,30774,27001,19693,0.7607201217107117,271151.8762785053,197762.81987898986,0.9933913007378579,55634.28741835189,0.8733824898597757,NA,High,Extreme
"1315095_Formica_aserva_Forel,_1901",0.5549573926535469,0.9987780451774597,0.5072903010616081,0.997847318649292,0.5072903010616081,0.5311238468575775,-0.047667091591938826,-8.589324554091814,35494,0.9502044558525085,0.9905838966369628,0.9209097802639007,0.980764776468277,-0.029294675588607766,21346,11266,3119,0.3174057587197836,113136.44080417913,31321.90297072916,18752,9285,2164,0.2615935087620443,93242.66402155186,21731.515879659473,0.9355571180582045,-19893.776782627276,0.7333404824578911,NA,High,Extreme
"1316764_Myrmecocystus_navajo_Wheeler,_1908",0.2766343953210456,0.9993196725845337,0.2992317437216129,0.9994952082633972,0.2766343953210456,0.28793306952132924,0.022597348400567263,8.168669110846505,35494,0.9774021774530409,0.9971159332990647,0.9832723677158355,0.9976712894439698,0.005870190262794561,8987,5349,3171,0.15070152701865103,53716.21000013795,31844.10205841044,9939,6056,3439,0.17062038654420467,60816.10913457383,34535.43581799858,0.9803372725844381,7099.89913443588,0.6341351710528838,NA,Moderate,Extreme
"1314773_Monomorium_pharaonis_(Linnaeus,_1758)",0.2633481105825505,1,0.3659359480137501,1,0.2633481105825505,0.3146420292981503,0.10258783743119965,38.95522060297521,34095,0.9166873872280121,0.9995255994796753,0.9807709097862244,0.9999697947502135,0.06408352255821226,6995,3959,1876,0.11611673265874761,39757.426694811395,18839.336317116995,11043,7267,3526,0.21313975656254583,72977.32250345906,35409.11506084996,0.9487291485071183,33219.89580864766,0.6316855889026343,NA,Moderate,Extreme
"1315111_Formica_japonica_Motschoulsky,_1866",0.2261458473429652,1,0.27769442170456765,1,0.2261458473429652,0.25192013452376644,0.051548574361602456,22.794393515183863,35494,0.9745196700096129,0.9995288836956024,0.998068916797638,0.9999967217445374,0.023549246788025058,7640,6115,3557,0.17228263931932158,61408.60425328914,35720.42605542918,9051,7754,5836,0.21845945793655266,77867.91780539721,58606.80530207611,0.9862942934036254,16459.313552108077,0.619107213963696,NA,Moderate,Extreme
"1316350_Messor_aciculatus_(Smith,_1874)",0.21790700421610426,0.9989100098609924,0.23934524489714723,0.9995521306991577,0.21790700421610426,0.22862612455662573,0.02143824068104297,9.83825222055831,35494,0.8784816265106201,0.9872152936458587,0.8859423041343689,0.9906338185071946,0.0074606776237488015,5234,3562,1550,0.10035498957570294,35770.63750616777,15565.549728961269,5855,3716,1628,0.1046937510565166,37317.150188916174,16348.84836048319,0.8822119653224945,1546.5126827484055,0.5554190449395601,NA,Moderate,Extreme
"1315077_Formica_ulkei_Emery,_1893",0.17169767077372866,0.9970979690551758,0.20949432664761197,0.9965136647224426,0.17169767077372866,0.19059599871067032,0.03779665587388331,22.01349366217876,36996,0.7311438918113708,0.9597578406333924,0.8354098796844482,0.969852685928345,0.10426598787307739,3813,2045,778,0.05527624608065737,20536.48335208116,7812.901734923785,5170,2897,1230,0.07830576278516596,29092.514557935996,12352.016881691845,0.7832768857479095,8556.031205854837,0.48693644222928995,NA,Moderate,Extreme
"1316434_Messor_minor_(Andre,_1883)",0.07706528502329778,1,0.13153089505708446,1,0.07706528502329778,0.10429809004019111,0.05446561003378668,70.6746364687045,34500,0.7147072553634637,0.9982652097940445,0.9780728220939634,1,0.2633655667304997,2351,1765,929,0.051159420289855075,17724.64211072041,9329.287547229043,4109,3339,2416,0.09678260869565218,33531.20680322689,24262.172996884146,0.8463900387287135,15806.564692506476,0.4753440643844523,NA,Low,Extreme
"1315165_Formica_neogagates_Viereck,_1903",0.16118261755100155,0.9535714387893677,0.2645693676422309,0.9839493632316589,0.16118261755100155,0.21287599259661621,0.10338675009122933,64.14261764828059,34169,0.6105270981788635,0.7674386286735535,0.7866563200950621,0.8916524624824524,0.17612922191619862,3241,796,17,0.023295970031314936,7993.66295758269,170.71893251118811,6797,3142,270,0.09195469577687378,31552.87564412665,2711.4183398835758,0.6985917091369629,23559.212686543957,0.4557338508667895,NA,Moderate,High
"1316032_Aphaenogaster_treatae_Forel,_1886",0.07918203103164353,1,0.14841648285162212,1,0.07918203103164353,0.11379925694163283,0.06923445181997859,87.43707494988404,34500,0.6127064794301983,0.9766460281610495,0.9539301395416258,0.9999875473976135,0.34122366011142746,2189,1412,645,0.04092753623188406,14179.71368857633,6477.277145277431,4817,3625,2227,0.10507246376811594,36403.30178547394,22364.180158965642,0.783318309485912,22223.588096897605,0.4485587832137724,NA,Low,Extreme
